name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
La Cantine Des Sales Gosses,"81 Rue Pierre-Paul Riquet, Toulouse",Rue Pierre-Paul Riquet,43.606032,1.453933,1,4.8,1011,4852,37.462805546836805,8,9,"(4.7, 4.9]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIN-YA RAMEN,"62 Rue Lancefoc, Toulouse",Rue Lancefoc,43.6093187,1.432851,2,4.8,775,3720,36.90864817203028,8,9,"(4.7, 4.9]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh la vache!,"2 Rue d'Austerlitz, Toulouse",Rue d'Austerlitz,43.6054879,1.4475091,3,4.8,640,3072,36.509663875122655,8,8,"(4.7, 4.9]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Michel Sarran,"21 Boulevard Armand Duportal, Toulouse",Boulevard Armand Duportal,43.6072539,1.4345366,5,4.7,1094,5141,36.37338141338784,7,9,"(4.6, 4.7]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Corner - Bagel Donuts Café,"6 Rue du Taur, Toulouse",Rue du Taur,43.6052738,1.4427726,6,4.7,1057,4967,36.30315244034491,7,9,"(4.6, 4.7]","(667.0, inf]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizzeria d'Alexis,"12 Rue de la République, Toulouse",Rue de la République,43.5986937,1.4359456,8,4.7,1057,4967,36.30315244034491,7,9,"(4.6, 4.7]","(667.0, inf]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le P'tit Louis,"32 Rue de la République, Toulouse",Rue de la République,43.59852739999999,1.4351843,10,4.9,316,1548,36.258466704830184,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crêperie Le Menhir,"14 Rue du Pont Guilheméry, Toulouse",Rue du Pont Guilheméry,43.601037,1.4570394,11,4.8,558,2678,36.22384415490038,8,8,"(4.7, 4.9]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bapz,"13 Rue de la Bourse, Toulouse",Rue de la Bourse,43.60061,1.442319,12,4.7,996,4681,36.18181889059139,7,9,"(4.6, 4.7]","(667.0, inf]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Ethiopien Toulouse,"44 Rue des 7 Troubadours, Toulouse",Rue des 7 Troubadours,43.6069023,1.4528145,13,4.9,275,1347,35.962730199768295,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
