name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bar,bakery,liquor_store,store,meal_takeaway,cafe,meal_delivery,spa,lodging,grocery_or_supermarket,night_club,supermarket,convenience_store
Restaurant Les Chauvins Père & Fils,"3 Rue du Faisan, Strasbourg","Rue du Faisan,",48.5833917,7.7532083,1,4.8,564,2707,36.24613969912004,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie Des Haras,"23 Rue des Glacières, Strasbourg","Rue des Glacières,",48.5776295,7.7427847,2,4.6,1687,7760,36.004729379909975,7,9,"(4.5, 4.6]","(853.2, inf]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
La Cloche à Fromage RESTAURANT,"27 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5806889,7.748669399999999,3,4.6,1543,7097,35.82648325989047,7,9,"(4.5, 4.6]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Crocodile,"10 Rue de l'Outre, Strasbourg","Rue de l'Outre,",48.5836592,7.747496700000001,4,4.7,719,3379,35.51662578479955,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Transsiberien,"3 Ruelle de la Bruche, Strasbourg","Ruelle de la Bruche,",48.58042859999999,7.756908299999999,5,4.8,388,1862,35.46639228285219,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Jasmin,"1 Rue Schimper, Strasbourg","Rue Schimper,",48.5873576,7.7686898,6,4.8,372,1785,35.37860611143311,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmonie Bowl and Juice,"5 Rue Saint-Étienne, Strasbourg","Rue Saint-Étienne,",48.5830797,7.755178599999999,7,4.8,372,1785,35.37860611143311,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O. friend's,"61 Rue du Faubourg-de-Pierre, Strasbourg","Rue du Faubourg-de-Pierre,",48.5897158,7.7449012,8,4.9,197,965,35.252884508191805,9,5,"(4.8, inf]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez Rita,"7 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5799643,7.7492654,9,4.8,338,1622,35.17880016133274,8,6,"(4.6, 4.8]","(248.0, 347.0]","['restaurant', 'bakery', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Santa Elena,"11 Rue Sainte-Hélène, Strasbourg","Rue Sainte-Hélène,",48.5821419,7.7443733,10,4.7,586,2754,35.09911879528503,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil's Mill Crêperie,"29 Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5790825,7.7416254,11,4.7,586,2754,35.09911879528503,8,8,"(4.6, 4.8]","(498.8, 853.2]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
La Fignette,"5 Rue de la Vignette, Strasbourg","Rue de la Vignette,",48.5824612,7.7426774,12,4.5,1861,8374,34.96385867908845,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skaechele,"8 Rue de l'Argile, Strasbourg","Rue de l'Argile,",48.5823133,7.742742799999998,13,4.7,545,2561,34.95106356070022,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La Cruche,"4 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5797837,7.7495669,14,5.0,94,470,34.86563926799849,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delicious Food,"25 Rue de Molsheim, Strasbourg","Rue de Molsheim,",48.575855,7.731656500000002,15,4.9,158,774,34.78341972607668,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Cruchon,"11 Rue des Pucelles, Strasbourg","Rue des Pucelles,",48.583934,7.753868999999999,16,4.7,486,2284,34.71719046553278,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Houmous & Co (Lebanon Resturant),"11 Rue de la Division Leclerc, Strasbourg","Rue de la Division Leclerc,",48.5798937,7.7477963,17,4.6,868,3992,34.67719073581186,7,9,"(4.5, 4.6]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Damas Restaurant,"10 Passage de Londres - Cour de Cambridge, Strasbourg","Passage de Londres - Cour de Cambridge,",48.5779554,7.770677000000001,18,4.9,148,725,34.6442824054353,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
